c28992r1000,aantal_inwoners,geometry,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-0,Total
543,0,"POLYGON ((114000 493000, 114000 494000, 113000 494000, 113000 493000, 114000 493000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010256410256410256
544,2280,"POLYGON ((115000 483000, 115000 484000, 114000 484000, 114000 483000, 115000 483000))",0.0,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.015384615384615385,0.020512820512820513,0.0,0.005128205128205128,0.025641025641025644,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.010256410256410256,0.10256410256410256
545,7665,"POLYGON ((115000 484000, 115000 485000, 114000 485000, 114000 484000, 115000 484000))",0.03076923076923077,0.03076923076923077,0.025641025641025644,0.005128205128205128,0.0358974358974359,0.005128205128205128,0.015384615384615385,0.041025641025641026,0.06153846153846154,0.08205128205128205,0.06666666666666667,0.1076923076923077,0.06666666666666667,0.08205128205128205,0.09743589743589744,0.11282051282051282,0.1076923076923077,0.06153846153846154,0.11794871794871796,0.025641025641025644,0.0717948717948718,0.06666666666666667,0.05641025641025641,0.05128205128205129,1.4256410256410257
546,13590,"POLYGON ((115000 485000, 115000 486000, 114000 486000, 114000 485000, 115000 485000))",0.046153846153846156,0.046153846153846156,0.041025641025641026,0.041025641025641026,0.05128205128205129,0.020512820512820513,0.041025641025641026,0.03076923076923077,0.05641025641025641,0.0717948717948718,0.13846153846153847,0.08205128205128205,0.158974358974359,0.1641025641025641,0.158974358974359,0.10256410256410257,0.06153846153846154,0.05128205128205129,0.09743589743589744,0.0717948717948718,0.07692307692307693,0.0358974358974359,0.05641025641025641,0.07692307692307693,1.7794871794871796
547,5495,"POLYGON ((115000 486000, 115000 487000, 114000 487000, 114000 486000, 115000 486000))",0.020512820512820513,0.020512820512820513,0.020512820512820513,0.03076923076923077,0.010256410256410256,0.0358974358974359,0.025641025641025644,0.041025641025641026,0.046153846153846156,0.06153846153846154,0.09743589743589744,0.12307692307692308,0.1076923076923077,0.09230769230769231,0.046153846153846156,0.07692307692307693,0.05128205128205129,0.10256410256410257,0.07692307692307693,0.041025641025641026,0.06153846153846154,0.03076923076923077,0.0717948717948718,0.015384615384615385,1.3076923076923077
548,2830,"POLYGON ((115000 487000, 115000 488000, 114000 488000, 114000 487000, 115000 487000))",0.0358974358974359,0.010256410256410256,0.010256410256410256,0.0,0.005128205128205128,0.0,0.005128205128205128,0.0358974358974359,0.0,0.015384615384615385,0.03076923076923077,0.0,0.020512820512820513,0.025641025641025644,0.0358974358974359,0.020512820512820513,0.020512820512820513,0.010256410256410256,0.010256410256410256,0.020512820512820513,0.0,0.010256410256410256,0.020512820512820513,0.020512820512820513,0.36410256410256414
549,5355,"POLYGON ((115000 488000, 115000 489000, 114000 489000, 114000 488000, 115000 488000))",0.015384615384615385,0.015384615384615385,0.015384615384615385,0.010256410256410256,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.03076923076923077,0.03076923076923077,0.06153846153846154,0.020512820512820513,0.06153846153846154,0.041025641025641026,0.05641025641025641,0.041025641025641026,0.05641025641025641,0.041025641025641026,0.025641025641025644,0.0358974358974359,0.015384615384615385,0.041025641025641026,0.03076923076923077,0.020512820512820513,0.020512820512820513,0.7025641025641025
550,15,"POLYGON ((115000 489000, 115000 490000, 114000 490000, 114000 489000, 115000 489000))",0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.025641025641025644,0.015384615384615385,0.0,0.005128205128205128,0.015384615384615385,0.005128205128205128,0.010256410256410256,0.020512820512820513,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.0,0.005128205128205128,0.0,0.005128205128205128,0.0,0.005128205128205128,0.13846153846153847
551,0,"POLYGON ((115000 490000, 115000 491000, 114000 491000, 114000 490000, 115000 490000))",0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.0,0.005128205128205128,0.020512820512820513,0.005128205128205128,0.005128205128205128,0.0,0.0,0.010256410256410256,0.015384615384615385,0.015384615384615385,0.005128205128205128,0.0,0.0,0.005128205128205128,0.0,0.005128205128205128,0.12307692307692308
552,0,"POLYGON ((115000 491000, 115000 492000, 114000 492000, 114000 491000, 115000 491000))",0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385
