c28992r1000,aantal_inwoners,geometry,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-0,Total
313,95,"POLYGON ((83000 431000, 83000 432000, 82000 432000, 82000 431000, 83000 431000))",0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.010256410256410256,0.015384615384615385,0.0,0.010256410256410256,0.0,0.005128205128205128,0.0,0.005128205128205128,0.0,0.0,0.005128205128205128,0.010256410256410256,0.005128205128205128,0.010256410256410256,0.0,0.0,0.0,0.0,0.08205128205128205
314,0,"POLYGON ((83000 432000, 83000 433000, 82000 433000, 82000 432000, 83000 432000))",0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010256410256410256,0.0,0.0,0.0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564
317,2190,"POLYGON ((84000 429000, 84000 430000, 83000 430000, 83000 429000, 84000 429000))",0.015384615384615385,0.0,0.005128205128205128,0.005128205128205128,0.0,0.005128205128205128,0.0,0.005128205128205128,0.0,0.020512820512820513,0.0,0.025641025641025644,0.010256410256410256,0.041025641025641026,0.010256410256410256,0.020512820512820513,0.010256410256410256,0.015384615384615385,0.010256410256410256,0.010256410256410256,0.015384615384615385,0.020512820512820513,0.015384615384615385,0.015384615384615385,0.27692307692307694
318,3080,"POLYGON ((84000 430000, 84000 431000, 83000 431000, 83000 430000, 84000 430000))",0.005128205128205128,0.015384615384615385,0.010256410256410256,0.010256410256410256,0.010256410256410256,0.015384615384615385,0.0,0.025641025641025644,0.005128205128205128,0.05128205128205129,0.06666666666666667,0.0358974358974359,0.06153846153846154,0.05128205128205129,0.046153846153846156,0.05128205128205129,0.041025641025641026,0.020512820512820513,0.020512820512820513,0.015384615384615385,0.015384615384615385,0.0358974358974359,0.015384615384615385,0.025641025641025644,0.6512820512820514
319,5215,"POLYGON ((84000 431000, 84000 432000, 83000 432000, 83000 431000, 84000 431000))",0.041025641025641026,0.020512820512820513,0.010256410256410256,0.020512820512820513,0.0358974358974359,0.010256410256410256,0.015384615384615385,0.0358974358974359,0.03076923076923077,0.0717948717948718,0.12307692307692308,0.1435897435897436,0.08717948717948719,0.06666666666666667,0.06666666666666667,0.11794871794871796,0.09230769230769231,0.0717948717948718,0.0358974358974359,0.06153846153846154,0.06153846153846154,0.010256410256410256,0.05128205128205129,0.041025641025641026,1.3230769230769233
320,860,"POLYGON ((84000 432000, 84000 433000, 83000 433000, 83000 432000, 84000 432000))",0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.025641025641025644,0.010256410256410256,0.010256410256410256,0.020512820512820513,0.020512820512820513,0.025641025641025644,0.005128205128205128,0.010256410256410256,0.0,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.0,0.0,0.010256410256410256,0.005128205128205128,0.0,0.0,0.1641025641025641
324,5275,"POLYGON ((85000 429000, 85000 430000, 84000 430000, 84000 429000, 85000 429000))",0.041025641025641026,0.010256410256410256,0.025641025641025644,0.03076923076923077,0.010256410256410256,0.010256410256410256,0.03076923076923077,0.015384615384615385,0.020512820512820513,0.0717948717948718,0.05128205128205129,0.09743589743589744,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.09230769230769231,0.046153846153846156,0.05128205128205129,0.06666666666666667,0.046153846153846156,0.08717948717948719,0.0358974358974359,0.046153846153846156,0.025641025641025644,1.1128205128205129
325,5850,"POLYGON ((85000 430000, 85000 431000, 84000 431000, 84000 430000, 85000 430000))",0.005128205128205128,0.0358974358974359,0.020512820512820513,0.025641025641025644,0.020512820512820513,0.010256410256410256,0.0358974358974359,0.05128205128205129,0.06153846153846154,0.1076923076923077,0.11794871794871796,0.06153846153846154,0.12307692307692308,0.11794871794871796,0.046153846153846156,0.08205128205128205,0.09743589743589744,0.09743589743589744,0.041025641025641026,0.09230769230769231,0.0717948717948718,0.046153846153846156,0.041025641025641026,0.03076923076923077,1.4410256410256412
326,5420,"POLYGON ((85000 431000, 85000 432000, 84000 432000, 84000 431000, 85000 431000))",0.015384615384615385,0.0358974358974359,0.0358974358974359,0.025641025641025644,0.015384615384615385,0.020512820512820513,0.0358974358974359,0.041025641025641026,0.05128205128205129,0.05128205128205129,0.05641025641025641,0.0717948717948718,0.0717948717948718,0.13333333333333333,0.05128205128205129,0.06666666666666667,0.09743589743589744,0.07692307692307693,0.0358974358974359,0.06666666666666667,0.05128205128205129,0.05128205128205129,0.05641025641025641,0.05128205128205129,1.2666666666666668
327,655,"POLYGON ((85000 432000, 85000 433000, 84000 433000, 84000 432000, 85000 432000))",0.0,0.0,0.015384615384615385,0.005128205128205128,0.0,0.0,0.005128205128205128,0.015384615384615385,0.020512820512820513,0.015384615384615385,0.015384615384615385,0.005128205128205128,0.010256410256410256,0.010256410256410256,0.010256410256410256,0.015384615384615385,0.005128205128205128,0.0358974358974359,0.005128205128205128,0.005128205128205128,0.020512820512820513,0.010256410256410256,0.005128205128205128,0.005128205128205128,0.23589743589743592
