c28992r1000,aantal_inwoners,geometry,0-4,4-8,8-12,12-16,16-20,20-0,Total
313,95,"POLYGON ((83000 431000, 83000 432000, 82000 432000, 82000 431000, 83000 431000))",0.005128205128205128,0.025641025641025644,0.015384615384615385,0.005128205128205128,0.03076923076923077,0.0,0.08205128205128207
314,0,"POLYGON ((83000 432000, 83000 433000, 82000 433000, 82000 432000, 83000 432000))",0.005128205128205128,0.0,0.010256410256410256,0.005128205128205128,0.005128205128205128,0.0,0.02564102564102564
317,2190,"POLYGON ((84000 429000, 84000 430000, 83000 430000, 83000 429000, 84000 429000))",0.025641025641025644,0.010256410256410256,0.046153846153846156,0.08205128205128205,0.046153846153846156,0.06666666666666667,0.27692307692307694
318,3080,"POLYGON ((84000 430000, 84000 431000, 83000 431000, 83000 430000, 84000 430000))",0.041025641025641026,0.05128205128205129,0.158974358974359,0.21025641025641026,0.09743589743589744,0.09230769230769231,0.6512820512820513
319,5215,"POLYGON ((84000 431000, 84000 432000, 83000 432000, 83000 431000, 84000 431000))",0.09230769230769231,0.09743589743589744,0.36923076923076925,0.3384615384615384,0.26153846153846155,0.1641025641025641,1.323076923076923
320,860,"POLYGON ((84000 432000, 84000 433000, 83000 433000, 83000 432000, 84000 432000))",0.0,0.041025641025641026,0.07692307692307693,0.020512820512820513,0.010256410256410256,0.015384615384615385,0.1641025641025641
324,5275,"POLYGON ((85000 429000, 85000 430000, 84000 430000, 84000 429000, 85000 429000))",0.1076923076923077,0.06666666666666667,0.24102564102564106,0.2923076923076923,0.21025641025641026,0.19487179487179487,1.1128205128205129
325,5850,"POLYGON ((85000 430000, 85000 431000, 84000 431000, 84000 430000, 85000 430000))",0.08717948717948719,0.11794871794871796,0.34871794871794876,0.36923076923076925,0.3282051282051282,0.18974358974358974,1.441025641025641
326,5420,"POLYGON ((85000 431000, 85000 432000, 84000 432000, 84000 431000, 85000 431000))",0.11282051282051282,0.11282051282051282,0.23076923076923075,0.3230769230769231,0.27692307692307694,0.21025641025641026,1.2666666666666666
327,655,"POLYGON ((85000 432000, 85000 433000, 84000 433000, 84000 432000, 85000 432000))",0.020512820512820513,0.020512820512820513,0.05641025641025641,0.046153846153846156,0.05128205128205129,0.041025641025641026,0.2358974358974359
332,1885,"POLYGON ((86000 429000, 86000 430000, 85000 430000, 85000 429000, 86000 429000))",0.06153846153846154,0.041025641025641026,0.1692307692307692,0.18974358974358974,0.06666666666666667,0.06666666666666667,0.5948717948717949
333,3780,"POLYGON ((86000 430000, 86000 431000, 85000 431000, 85000 430000, 86000 430000))",0.041025641025641026,0.06153846153846154,0.11794871794871796,0.13333333333333333,0.13333333333333333,0.07692307692307693,0.5641025641025641
334,2025,"POLYGON ((86000 431000, 86000 432000, 85000 432000, 85000 431000, 86000 431000))",0.020512820512820513,0.046153846153846156,0.06666666666666667,0.0717948717948718,0.0358974358974359,0.08205128205128205,0.3230769230769231
335,0,"POLYGON ((86000 432000, 86000 433000, 85000 433000, 85000 432000, 86000 432000))",0.0,0.041025641025641026,0.015384615384615385,0.020512820512820513,0.03076923076923077,0.025641025641025644,0.13333333333333333
336,740,"POLYGON ((86000 433000, 86000 434000, 85000 434000, 85000 433000, 86000 433000))",0.010256410256410256,0.020512820512820513,0.020512820512820513,0.020512820512820513,0.015384615384615385,0.03076923076923077,0.11794871794871795
337,300,"POLYGON ((86000 434000, 86000 435000, 85000 435000, 85000 434000, 86000 434000))",0.0,0.010256410256410256,0.046153846153846156,0.010256410256410256,0.025641025641025644,0.005128205128205128,0.09743589743589744
341,150,"POLYGON ((87000 431000, 87000 432000, 86000 432000, 86000 431000, 87000 431000))",0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.005128205128205128
343,2535,"POLYGON ((87000 433000, 87000 434000, 86000 434000, 86000 433000, 87000 433000))",0.025641025641025644,0.05128205128205129,0.13846153846153847,0.046153846153846156,0.13333333333333333,0.06153846153846154,0.45641025641025645
344,1270,"POLYGON ((87000 434000, 87000 435000, 86000 435000, 86000 434000, 87000 434000))",0.010256410256410256,0.020512820512820513,0.015384615384615385,0.0358974358974359,0.020512820512820513,0.020512820512820513,0.12307692307692308
347,90,"POLYGON ((87000 441000, 87000 442000, 86000 442000, 86000 441000, 87000 441000))",0.005128205128205128,0.0,0.015384615384615385,0.005128205128205128,0.005128205128205128,0.0,0.030769230769230767
350,0,"POLYGON ((88000 432000, 88000 433000, 87000 433000, 87000 432000, 88000 432000))",0.0,0.0,0.0,0.010256410256410256,0.005128205128205128,0.0,0.015384615384615385
352,15,"POLYGON ((88000 434000, 88000 435000, 87000 435000, 87000 434000, 88000 434000))",0.0,0.005128205128205128,0.015384615384615385,0.015384615384615385,0.0,0.0,0.035897435897435895
354,3310,"POLYGON ((88000 436000, 88000 437000, 87000 437000, 87000 436000, 88000 436000))",0.0,0.0,0.005128205128205128,0.015384615384615385,0.005128205128205128,0.005128205128205128,0.030769230769230767
356,35,"POLYGON ((88000 438000, 88000 439000, 87000 439000, 87000 438000, 88000 438000))",0.005128205128205128,0.015384615384615385,0.020512820512820513,0.015384615384615385,0.046153846153846156,0.005128205128205128,0.10769230769230768
