,0-4,4-8,8-12,12-16,16-20,20-0
1,-0.6432675209026769,-0.8040844011283461,2.0906194429336997,-0.4824506406770077,-0.4824506406770077,0.32163376045133846
6,-0.8265992475892193,-1.0376458639949773,2.022530073888515,0.2286338344395713,-0.298982706574824,-0.08793609016906598
8,-0.9745412767961822,-0.7203131176319608,0.042371359860703596,2.0761966331744754,0.042371359860703596,-0.4660849584677393
11,-0.7680051881197733,-1.5152534792633365,1.598281067168177,0.6019500123100928,0.3528672485955716,-0.2698396606907312
12,-0.9654774450653295,-1.344096050973302,1.003339305656127,1.268372329791708,0.5868588391573573,-0.5489969785665597
13,-1.2891522299354106,-0.995885371940625,1.4235662065163537,1.0936409912722203,0.10386534553981942,-0.3360349414523585
17,-1.775054836372992,-0.6756660344903649,1.1795525686865684,0.767281767980583,0.6298581677452547,-0.1259716335490513
18,-1.0877649092700312,-1.3523563736870658,0.41158672242649824,1.0289668060662458,1.293558270483281,-0.2939905160189273
19,-1.5976440609896354,0.08984306455442957,1.3320210875243659,1.0273359120789103,-0.07421818376235444,-0.7773378194057151
20,-1.020832857876628,-1.089653050542468,1.4704581166267827,1.1401211918307508,0.052762147710477506,-0.5528555477489153
21,-1.2958208304193664,-0.8497185773241746,0.8709615417572795,1.6357082613490364,0.04248592886620893,-0.40361632422898275
24,-1.4814874939752931,-0.45584230583855173,0.9116846116771035,-0.45584230583855173,-0.11396057645963775,1.5954480704349314
25,-1.1350511129564815,-0.862638845846926,1.725277691693851,0.7990759835213627,0.06356286232556273,-0.5902265787373707
26,-1.3517412699238114,-1.007945802428738,0.773539801863915,1.5080119369670262,0.4141172676645201,-0.3359819341429126
27,-1.1910371089458993,-1.1394398334680986,0.6922634459938263,1.6210144045942387,0.3052838799103208,-0.288084788084387
28,-1.1714569144050464,-0.9731538630637533,0.7014052371516104,1.7369878386005857,0.10649608312773134,-0.4002783814111289
29,-1.1577582325746267,-1.0308806180459007,0.9991612144137192,1.4115134616320792,0.4282119490344512,-0.6502477744597218
30,-0.9610405268221112,-1.0159571283548035,0.3020413084298065,1.400373339083648,1.1257903314201874,-0.851207323756727
31,-1.1331703536518285,-1.0584558248396199,1.631267212399885,0.8841219242778009,0.062262107343507254,-0.3860250655297437
34,-1.0782040975355274,-1.1113796082289282,1.4099592044695362,1.2109061403091306,-0.04976326604010108,-0.3815183729741099
35,-1.1596415131876157,-0.993978439875099,0.12424730498438691,1.8222938064376804,0.4969892199375494,-0.28991037829690414
36,-1.339953187358332,-1.106917850426448,0.330133393986836,1.1845962960704102,1.1845962960704102,-0.25245494834287374
